Date,Price
09-06-2023,26480.375
10-06-2023,25851.24023
11-06-2023,25940.16797
12-06-2023,25902.5
13-06-2023,25918.72852
14-06-2023,25124.67578
15-06-2023,25576.39453
16-06-2023,26327.46289
17-06-2023,26510.67578
18-06-2023,26336.21289
19-06-2023,26851.0293
20-06-2023,28327.48828
21-06-2023,30027.29688
22-06-2023,29912.28125
23-06-2023,30695.46875
24-06-2023,30548.69531
25-06-2023,30480.26172
26-06-2023,30271.13086
27-06-2023,30688.16406
28-06-2023,30086.24609
29-06-2023,30445.35156
30-06-2023,30477.25195
01-07-2023,30590.07813
02-07-2023,30620.76953
03-07-2023,31156.43945
04-07-2023,30777.58203
05-07-2023,30514.16602
06-07-2023,29909.33789
07-07-2023,30342.26563
08-07-2023,30292.54102
09-07-2023,30171.23438
10-07-2023,30414.4707
11-07-2023,30620.95117
12-07-2023,30391.64648
13-07-2023,31476.04883
14-07-2023,30334.06836
15-07-2023,30295.80664
16-07-2023,30249.13281
17-07-2023,30145.88867
18-07-2023,29856.5625
19-07-2023,29913.92383
20-07-2023,29792.01563
21-07-2023,29908.74414
22-07-2023,29771.80273
23-07-2023,30084.53906
24-07-2023,29176.91602
25-07-2023,29227.39063
26-07-2023,29354.97266
27-07-2023,29210.68945
28-07-2023,29319.24609
29-07-2023,29356.91797
30-07-2023,29275.30859
31-07-2023,29230.11133
01-08-2023,29675.73242
02-08-2023,29151.95898
03-08-2023,29178.67969
04-08-2023,29074.0918
05-08-2023,29042.12695
06-08-2023,29041.85547
07-08-2023,29180.57813
08-08-2023,29765.49219
09-08-2023,29561.49414
10-08-2023,29429.5918
11-08-2023,29397.71484
12-08-2023,29415.96484
13-08-2023,29282.91406
14-08-2023,29408.44336
15-08-2023,29170.34766
16-08-2023,28701.7793
17-08-2023,26664.55078
18-08-2023,26049.55664
19-08-2023,26096.20508
20-08-2023,26189.58398
21-08-2023,26124.14063
22-08-2023,26031.65625
23-08-2023,26431.64063
24-08-2023,26162.37305
25-08-2023,26047.66797
26-08-2023,26008.46289
27-08-2023,26089.69336
28-08-2023,26106.15039
29-08-2023,27727.39258
30-08-2023,27297.26563
31-08-2023,25931.47266
01-09-2023,25800.72461
02-09-2023,25868.79883
03-09-2023,25969.56641
04-09-2023,25812.41602
05-09-2023,25779.98242
06-09-2023,25753.23633
07-09-2023,26240.19531
08-09-2023,25905.6543
09-09-2023,25895.67773
10-09-2023,25832.22656
11-09-2023,25162.6543
12-09-2023,25833.34375
13-09-2023,26228.32422
14-09-2023,26539.67383
15-09-2023,26608.69336
